Name,Position,Rating,id
BEAST,ATK,92,136705898818043904
k1eran01,ATK,89,168335065762365442
Krythx,ATK,88,328327734101147661
abe,ATK,88,279150344762556426
Jay-,ATK,86,189131360391135233
chaperz,ATK,84,389434873019891712
smasher,ATK,84,455295915238883328
srv,ATK,83,323501555259277324
BagOBread,ATK,83,934681274159874099
poke,ATK,83,335833463833755658
vinicius,ATK,83,765987081159311361
squid,ATK,83,576712355803693088
Tarik,ATK,82,882500705879986206
wex,ATK,81,941130272991215647
Fic,ATK,81,353587394114748416
Chooky,ATK,80,188522891841634305
kayden,ATK,80,431493105112317953
SkippyTheOtter,ATK,79,342334121684631553
Reinaldo,ATK,79,600268783373778954
LED TRAORE,ATK,78,239191648758792194
seiza,ATK,78,661070147938943008
Tyreese,ATK,78,316197234956042240
K1NCHENKO,ATK,78,709575534094319698
Aguero,ATK,78,237347593355526145
Pisco,ATK,75,681609018032390155
Hibber,ATK,75,503192546109947915
Maximiano,ATK,73,606072061638475813
Zidane,ATK,72,648538836195868682
PalitoGuerrero,ATK,72,809616999410827294
ghxst,ATK,65,539558994671435776
Fallen,MID,94,232186503462125569
slicer,MID,90,264265077325168642
meany,MID,87,133404067564224512
glade,MID,86,206815167751651329
Evaniskus,MID,85,142148137828614144
LagHank,MID,85,133083411270205440
mamastroso,MID,84,614911285523382273
xero,MID,83,670429935705260074
Declan,MID,81,135851851147902976
Liam,MID,79,542805110959505420
Dog123,MID,68,894729063418200074
zZxXkillerbyXxZz,MID,66,659987186782830623
R0D,DEF,84,337698860635783180
shaq,DEF,84,464590153994731561
conabzb,DEF,83,384034700047679498
roby,DEF,83,159858841973030913
danielm,DEF,83,239127759392210945
stefs,DEF,82,319962825374040080
JASON VOORHEES,DEF,81,443164857546833940
playdo,DEF,80,278008420777459712
Jumbo,DEF,79,198969918891360267
NonTooken,DEF,77,395812931838803969
Entz,DEF,77,901939448009351188
GustavAhr,DEF,74,856951259826880572
Richie,DEF,74,663226812955885610
skuza,DEF,74,530065708554387456
Cian,DEF,72,277861521130913803
Guille2610,DEF,67,307329594942291968
Tomas,DEF,66,688429519794995208
Papul,DEF,65,386952774253936640
Rarecord,DEF,65,587057206961373184
Alfy,DEF,57,415635922214846464
SkyyNet,GK,87,199463511007559680
Anthony_3176,GK,84,449535500861177866
orCheese,GK,83,267487135873892352
Gioforkya,GK,81,318081724426878976
MYAAAR!,GK,78,117678255540011008
Joshua19,GK,76,741012039744618496
pyros,GK,75,275085373527293963
