Name,Position,Rating,ID,Improved
abe,ATK,92,279150344762556426,1
BEAST,ATK,90,136705898818043904,-2
k1eran01,ATK,89,168335065762365442,0
Jay-,ATK,87,189131360391135233,0
smasher,ATK,86,455295915238883328,1
vinicius,ATK,85,765987081159311361,1
Tarik,ATK,85,882500705879986206,2
srv,ATK,83,323501555259277324,1
squid,ATK,83,576712355803693088,1
wex,ATK,83,941130272991215647,1
Aguero,ATK,83,237347593355526145,4
BagOBread,ATK,82,934681274159874099,-1
Fic,ATK,82,353587394114748416,1
poke,ATK,81,335833463833755658,-1
chaperz,ATK,80,389434873019891712,-1
Tyreese,ATK,80,316197234956042240,1
seiza,ATK,80,661070147938943008,2
Reinaldo,ATK,79,600268783373778954,0
LED TRAORE,ATK,78,239191648758792194,0
SkippyTheOtter,ATK,78,342334121684631553,1
shin,ATK,77,431493105112317953,-2
K1NCHENKO,ATK,77,709575534094319698,-1
Pisco,ATK,76,681609018032390155,0
brigo,ATK,75,723509903637086259,100
Hibber,ATK,74,503192546109947915,-1
Doga,ATK,73,525825513948708880,3
Maximiano,ATK,72,606072061638475813,-1
PalitoGuerrero,ATK,72,809616999410827294,0
Guille2610,ATK,68,307329594942291968,-1
kerv,ATK,67,1000708836430184538,100
ghxst,ATK,65,539558994671435776,0
Fallen,MID,96,232186503462125569,1
Krythx,MID,89,328327734101147661,1
mamastroso,MID,86,614911285523382273,1
meany,MID,85,133404067564224512,-1
xero,MID,85,670429935705260074,1
LagHank,MID,83,133083411270205440,-1
Evaniskus,MID,83,142148137828614144,0
MDB,MID,82,642265985084293120,0
Declan,MID,79,135851851147902976,-1
Liam,MID,77,542805110959505420,0
SRVIOLATOR,MID,69,672283577185992732,0
Dog123,MID,68,894729063418200074,-1
zZxXkillerbyXxZz,MID,67,659987186782830623,0
slicer,DEF,92,264265077325168642,1
glade,DEF,88,206815167751651329,1
shaq,DEF,86,464590153994731561,1
danielm,DEF,85,239127759392210945,1
stefs,DEF,85,319962825374040080,1
roby,DEF,84,159858841973030913,1
Chooky,DEF,84,188522891841634305,1
R0D,DEF,83,337698860635783180,-2
conabzb,DEF,83,384034700047679498,-1
JASON VOORHEES,DEF,82,443164857546833940,-1
playdo,DEF,78,278008420777459712,-1
Entz,DEF,78,901939448009351188,1
Jumbo,DEF,77,198969918891360267,-1
Zidane,DEF,77,648538836195868682,3
sk00pa,DEF,76,228235183692840960,100
Richie,DEF,75,663226812955885610,1
Pika,DEF,75,288427427611410432,100
skuza,DEF,73,530065708554387456,0
Cian,DEF,72,277861521130913803,1
GustavAhr,DEF,71,856951259826880572,-1
Tomas,DEF,69,688429519794995208,0
Papul,DEF,69,386952774253936640,0
niko,DEF,68,306589243298414612,100
Alfy,DEF,63,415635922214846464,0
SkyyNet,GK,91,199463511007559680,-1
Anthony_3176,GK,85,449535500861177866,0
orCheese,GK,83,267487135873892352,-1
Gioforkya,GK,80,318081724426878976,0
pyros,GK,80,275085373527293963,1
MYAAAR!,GK,76,117678255540011008,-1
Joshua19,GK,74,741012039744618496,-1
